,business_id,stars,positive_count,negative_count,sentiment_score_%,keyword,group
89,c-W17u2jiFOD2H_d6uo-bQ,4.5,3,0,100.0,food,food
90,cAbdvzqtFLaAAMFIyPf2AA,4.0,79,4,95.18072289156626,food,food
91,cQDwJjslebJv5Co7gCm2Yw,4.0,21,0,100.0,food,food
92,c_a38vt6v2tRq-VjdTZHZw,4.0,16,0,100.0,food,food
93,cyaDjqjhtRbpd5Og5dFoZg,2.5,0,0,,food,food
94,d0E938M2_4kcuULUdnj-Xw,4.5,53,0,100.0,food,food
95,df_UStxBFDYNSd-ngoR1-w,4.5,5,0,100.0,food,food
96,dutm97q2F4a6RV6YQ0uLHw,5.0,2,0,100.0,food,food
97,e76uCbhmK8oqAtYAkxB2Qg,4.5,2,0,100.0,food,food
98,eHRzuUXA2jrR99ecioWU4g,3.5,50,3,94.33962264150944,food,food
99,eL4lyE7LNoXEMvpcJ8WNVw,4.0,10,0,100.0,food,food
100,eX7o_-s5TmDT-DMfTV4cmw,4.0,65,9,87.83783783783784,food,food
101,fO89arPgWzq_1YYQYLS4Yw,4.5,0,0,,food,food
102,fiQxkb1pfPpvrr0oYYYBcA,5.0,26,1,96.29629629629628,food,food
103,fnGZspqyamRremXor0sAyg,4.0,7,1,87.5,food,food
104,fqStx0SvwMFChX_HIdUeEQ,4.0,88,3,96.7032967032967,food,food
105,g0lCOgLkkByZrhmwYzP5KA,4.5,15,1,93.75,food,food
106,g6VJ6y-AzDGQy0Gj91UvUw,4.0,2,0,100.0,food,food
107,gLNf3zUydIKc_cvUll-6gw,5.0,0,0,,food,food
108,gYrHa4CckDjgOQc5B-yTKA,4.0,7,0,100.0,food,food
109,gdEZfd6RFXYmmXX71RDvbA,4.5,22,0,100.0,food,food
110,gkqfm6mTim9Rwopwjayc8w,5.0,2,0,100.0,food,food
111,iBBV8vesQ8fo2IQA7an1JA,4.0,172,5,97.17514124293784,food,food
112,iBTc6XKgW5HESEZIii-G4g,4.5,6,0,100.0,food,food
113,ixROUxJqrczeYUT0z0MCHg,5.0,0,0,,food,food
114,j1yb8y-jFwpG_hW9AH3PrQ,5.0,14,0,100.0,food,food
115,j8c8WFqySY1eybnkJfgjSg,4.0,5,0,100.0,food,food
116,jKocMyXjEqgb9dL9S5vrEA,4.0,20,1,95.23809523809524,food,food
117,jMlE4wvspc0J-oN-SYUjQw,4.5,0,0,,food,food
118,j_m8zce-jSRQn5JmC633GQ,4.5,5,0,100.0,food,food
119,jfRq1KtjEGyPoMo9HZVw2Q,3.5,3,3,50.0,food,food
120,kBqyg_L_Xn9jQTCHYODbRg,5.0,1,0,100.0,food,food
121,krTxH1a9kzWgwvt3PVH8pQ,4.5,65,6,91.54929577464787,food,food
122,kwqXOtLCbNjgvwuMj4H1AQ,4.5,4,0,100.0,food,food
